,precision,recall,f1-score,support
Daisy,0.3696,0.2237,0.2787,76.0
Dandelion,0.3936,0.3814,0.3874,97.0
Rose,0.537,0.3867,0.4496,75.0
Sunflower,0.5,0.6667,0.5714,75.0
Tulip,0.4463,0.587,0.507,92.0
