,precision,recall,f1-score,support
Daisy,0.7237,0.7237,0.7237,76.0
Dandelion,0.7115,0.7629,0.7363,97.0
Rose,0.6735,0.44,0.5323,75.0
Sunflower,0.7294,0.8267,0.775,75.0
Tulip,0.604,0.663,0.6321,92.0
